model,recall,precision
LogisticRegression,0.9895287958115183,0.041800287515205134
LogisticRegression,0.9895287958115183,0.0418049104180491
LogisticRegression,0.9895287958115183,0.04180953434354607
LogisticRegression,0.9895287958115183,0.0418141592920354
LogisticRegression,0.9895287958115183,0.04181878526385662
LogisticRegression,0.9895287958115183,0.041823412259349414
LogisticRegression,0.9895287958115183,0.041828040278853604
LogisticRegression,0.9895287958115183,0.04183266932270916
LogisticRegression,0.9895287958115183,0.04183729939125622
LogisticRegression,0.9895287958115183,0.04184193048483507
LogisticRegression,0.9895287958115183,0.041846562603786115
LogisticRegression,0.9895287958115183,0.041851195748449956
LogisticRegression,0.9895287958115183,0.041855829919167316
LogisticRegression,0.9895287958115183,0.04186046511627907
LogisticRegression,0.9895287958115183,0.04186510134012626
LogisticRegression,0.9895287958115183,0.04186973859105007
LogisticRegression,0.9895287958115183,0.04187437686939183
LogisticRegression,0.9895287958115183,0.04187901617549302
LogisticRegression,0.9895287958115183,0.04188365650969529
LogisticRegression,0.9895287958115183,0.04188829787234043
LogisticRegression,0.9895287958115183,0.04189294026377036
LogisticRegression,0.9895287958115183,0.0418975836843272
LogisticRegression,0.9895287958115183,0.041902228134353174
LogisticRegression,0.9895287958115183,0.04190687361419069
LogisticRegression,0.9895287958115183,0.04191152012418228
LogisticRegression,0.9895287958115183,0.041916167664670656
LogisticRegression,0.9895287958115183,0.04192081623599867
LogisticRegression,0.9895287958115183,0.04192546583850932
LogisticRegression,0.9895287958115183,0.041930116472545756
LogisticRegression,0.9895287958115183,0.041934768138451296
LogisticRegression,0.9895287958115183,0.0419394208365694
LogisticRegression,0.9895287958115183,0.041944074567243674
LogisticRegression,0.9895287958115183,0.04194872933081789
LogisticRegression,0.9895287958115183,0.04195338512763596
LogisticRegression,0.9895287958115183,0.04195804195804196
LogisticRegression,0.9895287958115183,0.04196269982238011
LogisticRegression,0.9895287958115183,0.04196735872099478
LogisticRegression,0.9895287958115183,0.04197201865423051
LogisticRegression,0.9895287958115183,0.041976679622431984
LogisticRegression,0.9895287958115183,0.041981341625944024
LogisticRegression,0.9895287958115183,0.04198600466511163
LogisticRegression,0.9895287958115183,0.041990668740279936
LogisticRegression,0.9895287958115183,0.04199533385179424
LogisticRegression,0.9895287958115183,0.042
LogisticRegression,0.9895287958115183,0.0420046671852428
LogisticRegression,0.9895287958115183,0.042009335407868414
LogisticRegression,0.9895287958115183,0.04201400466822274
LogisticRegression,0.9895287958115183,0.04201867496665185
LogisticRegression,0.9895287958115183,0.04202334630350195
LogisticRegression,0.9895287958115183,0.042028018679119414
LogisticRegression,0.9895287958115183,0.04203269209385077
LogisticRegression,0.9895287958115183,0.04203736654804271
LogisticRegression,0.9895287958115183,0.042042042042042045
LogisticRegression,0.9895287958115183,0.042046718576195775
LogisticRegression,0.9895287958115183,0.04205139615085104
LogisticRegression,0.9895287958115183,0.04205607476635514
LogisticRegression,0.9895287958115183,0.04206075442305553
LogisticRegression,0.9895287958115183,0.0420654351212998
LogisticRegression,0.9895287958115183,0.042070116861435726
LogisticRegression,0.9895287958115183,0.04207479964381122
LogisticRegression,0.9895287958115183,0.042079483468774354
LogisticRegression,0.9895287958115183,0.04208416833667335
LogisticRegression,0.9895287958115183,0.042088854247856584
LogisticRegression,0.9895287958115183,0.042093541202672606
LogisticRegression,0.9895287958115183,0.0420982292014701
LogisticRegression,0.9895287958115183,0.04210291824459791
LogisticRegression,0.9895287958115183,0.04210760833240503
LogisticRegression,0.9895287958115183,0.042112299465240643
LogisticRegression,0.9895287958115183,0.04211699164345404
LogisticRegression,0.9895287958115183,0.0421216848673947
LogisticRegression,0.9895287958115183,0.04212637913741224
LogisticRegression,0.9895287958115183,0.04213107445385644
LogisticRegression,0.9895287958115183,0.04213577081707725
LogisticRegression,0.9895287958115183,0.042140468227424746
LogisticRegression,0.9895287958115183,0.04214516668524919
LogisticRegression,0.9895287958115183,0.042149866190900984
LogisticRegression,0.9895287958115183,0.04215456674473068
LogisticRegression,0.9895287958115183,0.042159268347089
LogisticRegression,0.9895287958115183,0.042163970998326826
LogisticRegression,0.9895287958115183,0.04216867469879518
LogisticRegression,0.9895287958115183,0.04217337944884525
LogisticRegression,0.9895287958115183,0.042178085248828386
LogisticRegression,0.9895287958115183,0.04218279209909608
LogisticRegression,0.9895287958115183,0.0421875
LogisticRegression,0.9895287958115183,0.04219220895189195
LogisticRegression,0.9895287958115183,0.04219691895512391
LogisticRegression,0.9895287958115183,0.04220163001004801
LogisticRegression,0.9895287958115183,0.04220634211701652
LogisticRegression,0.9895287958115183,0.04221105527638191
LogisticRegression,0.9895287958115183,0.042215769488496764
LogisticRegression,0.9895287958115183,0.04222048475371384
LogisticRegression,0.9895287958115183,0.04222520107238606
LogisticRegression,0.9895287958115183,0.042229918444866496
LogisticRegression,0.9895287958115183,0.04223463687150838
LogisticRegression,0.9895287958115183,0.042239356352665104
LogisticRegression,0.9895287958115183,0.04224407688869021
LogisticRegression,0.9895287958115183,0.042248798479937406
LogisticRegression,0.9895287958115183,0.04225352112676056
LogisticRegression,0.9895287958115183,0.042258244829513694
LogisticRegression,0.9895287958115183,0.04226296958855098
LogisticRegression,0.9895287958115183,0.04226769540422677
LogisticRegression,0.9895287958115183,0.04227242227689555
LogisticRegression,0.9895287958115183,0.04227715020691198
LogisticRegression,0.9895287958115183,0.042281879194630875
LogisticRegression,0.9895287958115183,0.042286609240407204
LogisticRegression,0.9895287958115183,0.042291340344596105
LogisticRegression,0.9895287958115183,0.04229607250755287
LogisticRegression,0.9895287958115183,0.04230080572963295
LogisticRegression,0.9895287958115183,0.04230554001119194
LogisticRegression,0.9895287958115183,0.04231027535258563
LogisticRegression,0.9895287958115183,0.042315011754169934
LogisticRegression,0.9895287958115183,0.04231974921630094
LogisticRegression,0.9895287958115183,0.0423244877393349
LogisticRegression,0.9895287958115183,0.04232922732362822
LogisticRegression,0.9895287958115183,0.042333967969537464
LogisticRegression,0.9895287958115183,0.04233870967741935
LogisticRegression,0.9895287958115183,0.04234345244763078
LogisticRegression,0.9895287958115183,0.04234819628052879
LogisticRegression,0.9895287958115183,0.042352941176470586
LogisticRegression,0.9895287958115183,0.04235768713581354
LogisticRegression,0.9895287958115183,0.04236243415891516
LogisticRegression,0.9895287958115183,0.04236718224613315
LogisticRegression,0.9895287958115183,0.04237193139782536
LogisticRegression,0.9895287958115183,0.04237668161434978
LogisticRegression,0.9895287958115183,0.04238143289606458
LogisticRegression,0.9895287958115183,0.0423861852433281
LogisticRegression,0.9895287958115183,0.042390938656498824
LogisticRegression,0.9895287958115183,0.0423956931359354
LogisticRegression,0.9895287958115183,0.04240044868199663
LogisticRegression,0.9895287958115183,0.042405205295041506
LogisticRegression,0.9895287958115183,0.04240996297542915
LogisticRegression,0.9895287958115183,0.04241472172351885
LogisticRegression,0.9895287958115183,0.04241948153967007
LogisticRegression,0.9895287958115183,0.04242424242424243
LogisticRegression,0.9895287958115183,0.04242900437759569
LogisticRegression,0.9895287958115183,0.042433767400089806
LogisticRegression,0.9895287958115183,0.042438531492084874
LogisticRegression,0.9895287958115183,0.042443296653941164
LogisticRegression,0.9895287958115183,0.04244806288601909
LogisticRegression,0.9895287958115183,0.04245283018867924
LogisticRegression,0.9895287958115183,0.04245759856228238
LogisticRegression,0.9895287958115183,0.042462368007189395
LogisticRegression,0.9895287958115183,0.042467138523761376
LogisticRegression,0.9895287958115183,0.042471910112359554
